service_id,labor_id,labor_type,labor_name,labor_category,schedule_date,shop,alfred,labor_start_date,labor_end_date,address_id,address_point,address_name,start_address_id,start_address_point,end_address_id,end_address_point,city,state_service
227008,320982.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 14:00:00-05:00,,9258.0,2025-09-11 13:13:00-05:00,2025-09-11 14:51:00-05:00,14667,POINT (-75.5504277 6.280507099999999),Casa,4852.0,POINT (-75.56991479999999 6.2276503),119738.0,POINT (-75.57907089999999 6.25308),1,COMPLETED
227064,321047.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 10:00:00-05:00,,70424.0,2025-09-11 08:58:00-05:00,2025-09-11 10:18:00-05:00,126965,POINT (-75.560277 6.340593500000001),Casa,88125.0,POINT (-75.55954 6.213297000000001),4852.0,POINT (-75.56991479999999 6.2276503),1,COMPLETED
227138,321139.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 07:00:00-05:00,,70424.0,2025-09-11 06:05:00-05:00,2025-09-11 08:09:00-05:00,126965,POINT (-75.560277 6.340593500000001),Casa,130623.0,POINT (-75.557794 6.322076999999998),102162.0,POINT (-75.564082 6.2082589),1,COMPLETED
227169,321179.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 07:00:00-05:00,,5455.0,2025-09-11 05:50:00-05:00,2025-09-11 08:21:00-05:00,10331,POINT (-75.5568613 6.278588999999999),Casa,113526.0,POINT (-75.545807 6.1747933),4852.0,POINT (-75.56991479999999 6.2276503),1,COMPLETED
227170,321180.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 16:30:00-05:00,,5455.0,2025-09-11 15:52:00-05:00,2025-09-11 18:06:00-05:00,10331,POINT (-75.5568613 6.278588999999999),Casa,4852.0,POINT (-75.56991479999999 6.2276503),113526.0,POINT (-75.545807 6.1747933),1,COMPLETED
227442,321466.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 08:00:00-05:00,,9258.0,2025-09-11 07:11:00-05:00,2025-09-11 08:41:00-05:00,14667,POINT (-75.5504277 6.280507099999999),Casa,130669.0,POINT (-75.56115299999999 6.1790162),102162.0,POINT (-75.564082 6.2082589),1,COMPLETED
227454,321481.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 13:00:00-05:00,,4555.0,2025-09-11 12:50:00-05:00,2025-09-11 13:44:00-05:00,,,,130679.0,POINT (-75.57566829999999 6.2153768),130680.0,POINT (-75.57430579999999 6.2025602),1,COMPLETED
227844,321897.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 11:00:00-05:00,,4554.0,2025-09-11 09:57:00-05:00,2025-09-11 11:51:00-05:00,,,,130777.0,POINT (-75.55785159999999 6.1829066),4852.0,POINT (-75.56991479999999 6.2276503),1,COMPLETED
227845,321898.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 14:30:00-05:00,,5455.0,2025-09-11 13:54:00-05:00,2025-09-11 15:18:00-05:00,10331,POINT (-75.5568613 6.278588999999999),Casa,4852.0,POINT (-75.56991479999999 6.2276503),130777.0,POINT (-75.55785159999999 6.1829066),1,COMPLETED
227954,322025.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 09:00:00-05:00,,5455.0,2025-09-11 08:22:00-05:00,2025-09-11 10:34:00-05:00,10331,POINT (-75.5568613 6.278588999999999),Casa,110158.0,POINT (-75.5717335 6.2027526),126335.0,POINT (-75.6010649 6.1622762),1,COMPLETED
228058,322136.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 07:00:00-05:00,,4555.0,2025-09-11 06:44:00-05:00,2025-09-11 08:17:00-05:00,,,,130883.0,POINT (-75.5735983 6.1572705),117281.0,POINT (-75.56979539999999 6.2198631),1,COMPLETED
228082,322163.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 09:00:00-05:00,,4554.0,2025-09-11 07:55:00-05:00,2025-09-11 09:30:00-05:00,,,,106960.0,POINT (-75.5596249 6.319155499999999),102162.0,POINT (-75.564082 6.2082589),1,COMPLETED
228402,322501.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 09:00:00-05:00,,4555.0,2025-09-11 08:42:00-05:00,2025-09-11 09:56:00-05:00,,,,130944.0,POINT (-75.5763387 6.2430981),130945.0,POINT (-75.5856104 6.183108199999999),1,COMPLETED
228409,322508.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 10:01:00-05:00,,10491.0,2025-09-11 08:54:00-05:00,2025-09-11 10:57:00-05:00,16770,POINT (-75.5948708 6.222133500000001),casa,130954.0,POINT (-75.557857 6.331759),102162.0,POINT (-75.564082 6.2082589),1,COMPLETED
229015,323149.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 10:30:00-05:00,,20111.0,2025-09-11 09:32:00-05:00,2025-09-11 11:30:00-05:00,25905,POINT (-75.594906 6.190818699999999),Apto,74273.0,POINT (-75.55964929999999 6.2436608),4852.0,POINT (-75.56991479999999 6.2276503),1,COMPLETED
229016,323150.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-09-11 16:00:00-05:00,,2036.0,2025-09-11 15:15:00-05:00,2025-09-11 15:58:00-05:00,55748,POINT (-75.55748439999999 6.252939599999999),Apartamento,4852.0,POINT (-75.56991479999999 6.2276503),74273.0,POINT (-75.55964929999999 6.2436608),1,FAILED
